user_id,date,description,amount,category,type,source,is_anomaly,anomaly_score
1,2025-05-25 07:28:12.219276,Petrol Pump HP,82.0,Transport,expense,UPI,False,0.0
1,2025-05-27 00:34:12.219276,Coding gig client work,526.0,Income,income,UPI,False,0.0
1,2025-05-28 01:08:12.219276,Coursera Certificate subscription,529.0,Education,expense,UPI,False,0.0
1,2025-05-29 10:39:12.219276,Laundry detergent detergent shop,235.0,Miscellaneous,expense,UPI,False,0.0
1,2025-05-29 09:12:12.219276,KFC Chicken meal,136.0,Food,expense,UPI,False,0.0
1,2025-05-30 04:23:12.219276,Hostel laundry charges,52.0,Hostel,expense,UPI,False,0.0
1,2025-05-30 20:12:12.219276,PG accommodation rent,100.0,Hostel,expense,UPI,False,0.0
1,2025-06-01 05:35:12.219276,Hostel Room Heater Surcharge,80.0,Hostel,expense,UPI,False,0.0
1,2025-06-02 21:34:12.219276,Freelance Web Design payment,476.0,Income,income,UPI,False,0.0
1,2025-06-03 11:25:12.219276,Local vegetable vendor,372.0,Food,expense,UPI,False,0.0
1,2025-06-04 20:59:12.219276,Photocopy shop xerox notes,210.0,Education,expense,UPI,False,0.0
1,2025-06-05 08:45:12.219276,University Exam Fee,489.0,Education,expense,UPI,False,0.0
1,2025-06-05 10:25:12.219276,Stationery shop notebook,1423.0,Shopping,expense,UPI,False,0.0
1,2025-06-08 00:38:12.219276,Hostel Security Deposit Refundable,64.0,Hostel,expense,UPI,False,0.0
1,2025-06-10 23:34:12.219276,Social media management fee,1286.0,Income,income,UPI,False,0.0
1,2025-06-11 10:27:12.219276,Burger King combo,205.0,Food,expense,UPI,False,0.0
1,2025-06-11 23:51:12.219276,Burger King combo,148.0,Food,expense,UPI,False,0.0
1,2025-06-12 04:06:12.219276,Nike showroom sneakers,1262.0,Shopping,expense,UPI,False,0.0
1,2025-06-14 03:44:12.219276,Amazon shopping clothes,414.0,Shopping,expense,UPI,False,0.0
1,2025-06-13 22:30:12.219276,GitHub Copilot Subscription,1851.0,Bills,expense,UPI,False,0.0
1,2025-06-15 07:23:12.219276,College Tuition Fee Semester 1,530.0,Education,expense,UPI,False,0.0
1,2025-06-15 03:29:12.219276,Hostel laundry charges,154.0,Hostel,expense,UPI,False,0.0
1,2025-06-18 02:35:12.219276,Gas cylinder booking Indane,1350.0,Bills,expense,UPI,False,0.0
1,2025-06-20 08:34:12.219276,Student Mess Fees Monthly,375.0,Food,expense,UPI,False,0.0
1,2025-06-20 07:01:12.219276,Hostel laundry charges,187.0,Hostel,expense,UPI,False,0.0
1,2025-06-20 05:06:12.219276,Supermarket Groceries,249.0,Food,expense,UPI,False,0.0
1,2025-06-20 21:52:12.219276,Cloud storage Google One,975.0,Bills,expense,UPI,False,0.0
1,2025-06-22 01:43:12.219276,University Exam Fee,581.0,Education,expense,UPI,False,0.0
1,2025-06-22 08:48:12.219276,Metro Card Recharge Metro Station,32.0,Transport,expense,UPI,False,0.0
1,2025-06-23 09:42:12.219276,Electricity bill board,2383.0,Bills,expense,UPI,False,0.0
1,2025-06-26 10:35:12.219276,Concert ticket EDM show,1013.0,Entertainment,expense,UPI,False,0.0
1,2025-06-25 21:22:12.219276,Hostel Room Rent Monthly AC,139.0,Hostel,expense,UPI,False,0.0
1,2025-06-26 23:34:12.219276,Freelance Web Design payment,283.0,Income,income,UPI,False,0.0
1,2025-06-27 10:18:12.219276,Noodles corner,422.0,Food,expense,UPI,False,0.0
1,2025-06-28 00:53:12.219276,Biryani House Restaurant,390.0,Food,expense,UPI,False,0.0
1,2025-06-28 23:18:12.219276,Biryani House Restaurant,433.0,Food,expense,UPI,False,0.0
1,2025-06-29 15:14:12.219276,MIDNIGHT SUSPICIOUS - University Exam Fee,2394.0,Education,expense,UPI,True,80.5014685210457
1,2025-07-02 01:39:12.219276,Gift box wrapper,500.0,Miscellaneous,expense,UPI,False,0.0
1,2025-07-02 11:15:12.219276,Toll plaza fee,238.0,Transport,expense,UPI,False,0.0
1,2025-07-03 05:16:12.219276,Zomato Order,230.0,Food,expense,UPI,False,0.0
1,2025-07-05 03:36:12.219276,Campus Canteen Maggie,87.0,Food,expense,UPI,False,0.0
1,2025-07-05 10:40:12.219276,Juice Shop hostel,229.0,Food,expense,UPI,False,0.0
1,2025-07-09 02:14:12.219276,Temple donation offering,80.0,Miscellaneous,expense,UPI,False,0.0
1,2025-07-08 21:44:12.219276,Auto Fare Cash,71.0,Transport,expense,UPI,False,0.0
1,2025-07-16 05:34:12.219276,Freelance Web Design payment,1472.0,Income,income,UPI,False,0.0
1,2025-07-23 06:29:12.219276,BookMyShow Movie Ticket PVR,1164.0,Entertainment,expense,UPI,False,0.0
1,2025-07-23 11:24:12.219276,Student Mess Fees Monthly,415.0,Food,expense,UPI,False,0.0
1,2025-07-24 04:48:12.219276,GitHub Copilot Subscription,247.0,Bills,expense,UPI,False,0.0
1,2025-07-25 09:44:12.219276,Chai Tapri Tea & Samosa,404.0,Food,expense,UPI,False,0.0
1,2025-07-25 04:56:12.219276,Amazon shopping clothes,588.0,Shopping,expense,UPI,False,0.0
1,2025-07-25 00:45:12.219276,Photocopy shop xerox notes,1187.0,Education,expense,UPI,False,0.0
1,2025-07-26 02:58:12.219276,Local thrift store jacket,1975.0,Shopping,expense,UPI,False,0.0
1,2025-07-27 11:27:12.219276,Gift box wrapper,448.0,Miscellaneous,expense,UPI,False,0.0
1,2025-07-27 02:13:12.219276,Local thrift store jacket,2886.0,Shopping,expense,UPI,False,0.0
1,2025-07-26 23:31:12.219276,H&M jeans,3494.0,Shopping,expense,UPI,False,0.0
1,2025-07-29 04:54:12.219276,Biryani House Restaurant,266.0,Food,expense,UPI,False,0.0
1,2025-08-03 20:53:12.219276,H&M jeans,2072.0,Shopping,expense,UPI,False,0.0
1,2025-08-04 09:15:12.219276,Gas cylinder booking Indane,2312.0,Bills,expense,UPI,False,0.0
1,2025-08-07 06:23:12.219276,Car rental service,140.0,Transport,expense,UPI,False,0.0
1,2025-08-07 04:25:12.219276,CRITICAL SPIKE - Chai Tapri Tea & Samosa,5775.0,Food,expense,UPI,True,91.46015315950442
1,2025-08-06 19:56:12.219276,Zomato Order,418.0,Food,expense,UPI,False,0.0
1,2025-08-07 21:42:12.219276,Water supply bill,430.0,Bills,expense,UPI,False,0.0
1,2025-08-09 02:01:12.219276,PG accommodation rent,160.0,Hostel,expense,UPI,False,0.0
1,2025-08-10 07:25:12.219276,Zomato Order,123.0,Food,expense,UPI,False,0.0
1,2025-08-11 07:28:12.219276,Metro Card Recharge Metro Station,276.0,Transport,expense,UPI,False,0.0
